127.0.0.1 - - [20/Jan/2021:21:24:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/index HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/resources/img/O_index1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/resources/img/O_index2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/resources/img/O_fine_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:04 +0900] "GET /myapp/resources/img/O_index3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:09 +0900] "GET /myapp/pension_manager HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:12 +0900] "GET /myapp/pension_edit HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:25:17 +0900] "GET /myapp/pension_edit HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:04 +0900] "GET /myapp/pension_manager HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:04 +0900] "GET /resources/img/room_list/.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:05 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:05 +0900] "GET /myapp/resources/img/O_fine_logo.png HTTP/1.1" 200 49873
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:08 +0900] "GET /myapp/room_detail?r_number= HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:46 +0900] "GET /myapp/pension_edit HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:54 +0900] "GET /myapp/pension_manager HTTP/1.1" 200 4215
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:54 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:54 +0900] "GET /myapp/resources/img/O_fine_logo.png HTTP/1.1" 200 49873
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:27:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:28:20 +0900] "GET /myapp/pension_edit HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:30:51 +0900] "GET /myapp/room_list HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:30:58 +0900] "GET /myapp/room/room_list HTTP/1.1" 200 8490
0:0:0:0:0:0:0:1 - - [20/Jan/2021:21:30:58 +0900] "GET /myapp/room/resources/img/O_fine_logo.png HTTP/1.1" 404 721
