127.0.0.1 - - [15/Jan/2021:00:21:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/index HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/resources/css/index.css HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/img/O_fine_logo.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/resources/img/O_index1.jpg HTTP/1.1" 200 129971
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/resources/img/O_index3.jpg HTTP/1.1" 200 154701
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /myapp/resources/img/O_index2.jpg HTTP/1.1" 200 235892
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:22:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/index HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/resources/css/index.css HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/resources/img/O_fine_logo.png HTTP/1.1" 200 49873
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/resources/img/O_index1.jpg HTTP/1.1" 200 129971
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/resources/img/O_index3.jpg HTTP/1.1" 200 154701
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /myapp/resources/img/O_index2.jpg HTTP/1.1" 200 235892
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:23:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/index HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/resources/css/index.css HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/resources/img/O_fine_logo.png HTTP/1.1" 200 49873
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/resources/img/O_index1.jpg HTTP/1.1" 200 129971
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/resources/img/O_index2.jpg HTTP/1.1" 200 235892
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:11 +0900] "GET /myapp/resources/img/O_index3.jpg HTTP/1.1" 200 154701
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:12 +0900] "GET /myapp/about.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/about HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/.css/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/css/about.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/img/O_background.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/img/O_mtn_winter.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/img/O_mtn_spring.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/img/O_mtn_fall.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:18 +0900] "GET /myapp/img/O_mtn_summer.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:38 +0900] "GET /myapp/index.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:48 +0900] "GET /myapp/index.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:52 +0900] "GET /myapp/index HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/about HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/.css/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/css/about.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/img/O_background.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/img/O_mtn_summer.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/img/O_mtn_spring.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/img/O_mtn_winter.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:55 +0900] "GET /myapp/img/O_mtn_fall.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:24:56 +0900] "GET /myapp/index HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:18 +0900] "GET /myapp/facility HTTP/1.1" 200 4459
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:18 +0900] "GET /myapp/.css/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:18 +0900] "GET /myapp/css/facility.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:18 +0900] "GET /myapp/img/O_facility1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:18 +0900] "GET /myapp/img/O_facility2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:18 +0900] "GET /myapp/img/O_facility3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:19 +0900] "GET /myapp/index HTTP/1.1" 200 3906
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/index HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/resources/css/common.css HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/resources/css/index.css HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/resources/img/O_fine_logo.png HTTP/1.1" 200 49873
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/resources/img/O_index1.jpg HTTP/1.1" 200 129971
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/resources/img/O_index3.jpg HTTP/1.1" 200 154701
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /myapp/resources/img/O_index2.jpg HTTP/1.1" 200 235892
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:53 +0900] "GET /myapp/room_reserve HTTP/1.1" 200 6263
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:25:53 +0900] "GET /myapp/resources/js/calendar.js HTTP/1.1" 200 5437
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:26:17 +0900] "GET /myapp/room_detail HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:27:26 +0900] "GET /myapp/about HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:27:26 +0900] "GET /myapp/.css/common.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:27:26 +0900] "GET /myapp/css/about.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Jan/2021:00:27:26 +0900] "GET /myapp/img/O_background.jpg HTTP/1.1" 404 721
